Date : 2026-07-13 01:46:35
Directory : /home/admin/programming/C++/Korra/stegvideo
Total : 118 files,  61086 codes, 4772 comments, 3736 blanks, all 69594 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/admin/programming/C++/Korra/stegvideo/test/src/color_codec/rgb_palette_codec_test.cpp                    | C++            |          9 |          0 |          7 |         16 |
| /home/admin/programming/C++/Korra/stegvideo/test/src/color_test.cpp                                            | C++            |        231 |          8 |         30 |        269 |
| /home/admin/programming/C++/Korra/stegvideo/test/src/encoder/provider/basic_block_test.cpp                     | C++            |        147 |          6 |         27 |        180 |
| /home/admin/programming/C++/Korra/stegvideo/test/src/encoder/provider/len_reader_test.cpp                      | C++            |         35 |          0 |          6 |         41 |
| /home/admin/programming/C++/Korra/stegvideo/test/src/math_test.cpp                                             | C++            |         73 |          0 |         26 |         99 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/analyse_decode/database.py                               | Python         |         13 |          0 |          2 |         15 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/analyse_decode/metric.cpp                                | C++            |        105 |          2 |         22 |        129 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/analyse_decode/sql_scripts/init.sql                      | MS SQL         |         75 |          0 |         16 |         91 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/color_test_helper.py                                     | Python         |         41 |          1 |         19 |         61 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/fps_color.cpp                                            | C++            |        161 |         14 |         47 |        222 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/gen_frame/argument_generator.cpp                         | C++            |         97 |          2 |         14 |        113 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/gen_frame/frame_generator.cpp                            | C++            |        120 |          2 |         10 |        132 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/gen_frames.py                                            | Python         |         14 |          0 |          1 |         15 |
| /home/admin/programming/C++/Korra/stegvideo/test/tool/tgbi_helper.py                                           | Python         |          7 |          0 |          1 |          8 |
| /home/admin/programming/C++/Korra/stegvideo/tool/analyse_decode.py                                             | Python         |          0 |          0 |          1 |          1 |
| /home/admin/programming/C++/Korra/stegvideo/tool/cmake_init.py                                                 | Python         |         20 |          0 |          4 |         24 |
| /home/admin/programming/C++/Korra/stegvideo/tool/fps_color.py                                                  | Python         |         27 |          0 |          4 |         31 |
| /home/admin/programming/C++/Korra/stegvideo/tool/run.py                                                        | Python         |         14 |          0 |          2 |         16 |
| /home/admin/programming/C++/Korra/stegvideo/tool/test.py                                                       | Python         |         14 |          0 |          2 |         16 |
| Total                                                                                                          |                |     61,086 |      4,772 |      3,736 |     69,594 |
+----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
